category,message
Random app ads,Random app ads: Notification #1 - Limited time!
Random app ads,Random app ads: Notification #2 - Limited time!
Random app ads,Random app ads: Notification #3 - FYI.
Random app ads,Random app ads: Notification #4 - Don’t miss this!
Random app ads,Random app ads: Notification #5 - Check this out!
Random app ads,Random app ads: Notification #6 - Limited time!
Random app ads,Random app ads: Notification #7 - Limited time!
Random app ads,Random app ads: Notification #8 - Check this out!
Random app ads,Random app ads: Notification #9 - FYI.
Random app ads,Random app ads: Notification #10 - Limited time!
Random app ads,Random app ads: Notification #11 - FYI.
Random app ads,Random app ads: Notification #12 - Don’t miss this!
Random app ads,Random app ads: Notification #13 - Limited time!
Random app ads,Random app ads: Notification #14 - FYI.
Random app ads,Random app ads: Notification #15 - Action needed!
Random app ads,Random app ads: Notification #16 - Action needed!
Random app ads,Random app ads: Notification #17 - Check this out!
Random app ads,Random app ads: Notification #18 - Don’t miss this!
Random app ads,Random app ads: Notification #19 - Limited time!
Random app ads,Random app ads: Notification #20 - Don’t miss this!
Random app ads,Random app ads: Notification #21 - FYI.
Random app ads,Random app ads: Notification #22 - Limited time!
Random app ads,Random app ads: Notification #23 - FYI.
Random app ads,Random app ads: Notification #24 - Don’t miss this!
Random app ads,Random app ads: Notification #25 - Don’t miss this!
Random app ads,Random app ads: Notification #26 - Limited time!
Random app ads,Random app ads: Notification #27 - Action needed!
Random app ads,Random app ads: Notification #28 - FYI.
Random app ads,Random app ads: Notification #29 - Limited time!
Random app ads,Random app ads: Notification #30 - Limited time!
Random app ads,Random app ads: Notification #31 - Don’t miss this!
Random app ads,Random app ads: Notification #32 - Check this out!
Random app ads,Random app ads: Notification #33 - FYI.
Random app ads,Random app ads: Notification #34 - Limited time!
Random app ads,Random app ads: Notification #35 - Don’t miss this!
Random app ads,Random app ads: Notification #36 - Limited time!
Random app ads,Random app ads: Notification #37 - Check this out!
Random app ads,Random app ads: Notification #38 - Don’t miss this!
Random app ads,Random app ads: Notification #39 - Action needed!
Random app ads,Random app ads: Notification #40 - Check this out!
Random app ads,Random app ads: Notification #41 - Check this out!
Random app ads,Random app ads: Notification #42 - Action needed!
