category,message
Repeated useless alerts,Repeated useless alerts: Notification #1 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #2 - Don’t miss this!
Repeated useless alerts,Repeated useless alerts: Notification #3 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #4 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #5 - Don’t miss this!
Repeated useless alerts,Repeated useless alerts: Notification #6 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #7 - Don’t miss this!
Repeated useless alerts,Repeated useless alerts: Notification #8 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #9 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #10 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #11 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #12 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #13 - Don’t miss this!
Repeated useless alerts,Repeated useless alerts: Notification #14 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #15 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #16 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #17 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #18 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #19 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #20 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #21 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #22 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #23 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #24 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #25 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #26 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #27 - Don’t miss this!
Repeated useless alerts,Repeated useless alerts: Notification #28 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #29 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #30 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #31 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #32 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #33 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #34 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #35 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #36 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #37 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #38 - FYI.
Repeated useless alerts,Repeated useless alerts: Notification #39 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #40 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #41 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #42 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #43 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #44 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #45 - Don’t miss this!
Repeated useless alerts,Repeated useless alerts: Notification #46 - Limited time!
Repeated useless alerts,Repeated useless alerts: Notification #47 - Check this out!
Repeated useless alerts,Repeated useless alerts: Notification #48 - Action needed!
Repeated useless alerts,Repeated useless alerts: Notification #49 - Don’t miss this!
