category,message
Shopping offers,Shopping offers: Notification #1 - Don’t miss this!
Shopping offers,Shopping offers: Notification #2 - Limited time!
Shopping offers,Shopping offers: Notification #3 - Don’t miss this!
Shopping offers,Shopping offers: Notification #4 - FYI.
Shopping offers,Shopping offers: Notification #5 - FYI.
Shopping offers,Shopping offers: Notification #6 - FYI.
Shopping offers,Shopping offers: Notification #7 - FYI.
Shopping offers,Shopping offers: Notification #8 - Don’t miss this!
Shopping offers,Shopping offers: Notification #9 - Check this out!
Shopping offers,Shopping offers: Notification #10 - Check this out!
Shopping offers,Shopping offers: Notification #11 - Action needed!
Shopping offers,Shopping offers: Notification #12 - Don’t miss this!
Shopping offers,Shopping offers: Notification #13 - Check this out!
Shopping offers,Shopping offers: Notification #14 - Check this out!
Shopping offers,Shopping offers: Notification #15 - Don’t miss this!
Shopping offers,Shopping offers: Notification #16 - Don’t miss this!
Shopping offers,Shopping offers: Notification #17 - Limited time!
Shopping offers,Shopping offers: Notification #18 - Don’t miss this!
Shopping offers,Shopping offers: Notification #19 - Don’t miss this!
Shopping offers,Shopping offers: Notification #20 - Don’t miss this!
Shopping offers,Shopping offers: Notification #21 - Check this out!
Shopping offers,Shopping offers: Notification #22 - Don’t miss this!
Shopping offers,Shopping offers: Notification #23 - Check this out!
Shopping offers,Shopping offers: Notification #24 - Check this out!
Shopping offers,Shopping offers: Notification #25 - FYI.
Shopping offers,Shopping offers: Notification #26 - Action needed!
Shopping offers,Shopping offers: Notification #27 - Don’t miss this!
Shopping offers,Shopping offers: Notification #28 - Limited time!
Shopping offers,Shopping offers: Notification #29 - FYI.
Shopping offers,Shopping offers: Notification #30 - Check this out!
Shopping offers,Shopping offers: Notification #31 - Limited time!
Shopping offers,Shopping offers: Notification #32 - Don’t miss this!
Shopping offers,Shopping offers: Notification #33 - Action needed!
Shopping offers,Shopping offers: Notification #34 - Action needed!
Shopping offers,Shopping offers: Notification #35 - Don’t miss this!
Shopping offers,Shopping offers: Notification #36 - Check this out!
Shopping offers,Shopping offers: Notification #37 - Check this out!
Shopping offers,Shopping offers: Notification #38 - Don’t miss this!
Shopping offers,Shopping offers: Notification #39 - Check this out!
Shopping offers,Shopping offers: Notification #40 - Check this out!
Shopping offers,Shopping offers: Notification #41 - Check this out!
Shopping offers,Shopping offers: Notification #42 - Check this out!
Shopping offers,Shopping offers: Notification #43 - FYI.
Shopping offers,Shopping offers: Notification #44 - Action needed!
Shopping offers,Shopping offers: Notification #45 - Don’t miss this!
Shopping offers,Shopping offers: Notification #46 - Check this out!
Shopping offers,Shopping offers: Notification #47 - Action needed!
Shopping offers,Shopping offers: Notification #48 - Limited time!
Shopping offers,Shopping offers: Notification #49 - Check this out!
Shopping offers,Shopping offers: Notification #50 - FYI.
Shopping offers,Shopping offers: Notification #51 - Check this out!
Shopping offers,Shopping offers: Notification #52 - FYI.
Shopping offers,Shopping offers: Notification #53 - Limited time!
Shopping offers,Shopping offers: Notification #54 - FYI.
Shopping offers,Shopping offers: Notification #55 - Limited time!
Shopping offers,Shopping offers: Notification #56 - FYI.
Shopping offers,Shopping offers: Notification #57 - Action needed!
Shopping offers,Shopping offers: Notification #58 - Don’t miss this!
Shopping offers,Shopping offers: Notification #59 - Don’t miss this!
Shopping offers,Shopping offers: Notification #60 - Limited time!
Shopping offers,Shopping offers: Notification #61 - Action needed!
Shopping offers,Shopping offers: Notification #62 - Don’t miss this!
Shopping offers,Shopping offers: Notification #63 - FYI.
Shopping offers,Shopping offers: Notification #64 - Check this out!
Shopping offers,Shopping offers: Notification #65 - Check this out!
Shopping offers,Shopping offers: Notification #66 - Don’t miss this!
Shopping offers,Shopping offers: Notification #67 - Action needed!
Shopping offers,Shopping offers: Notification #68 - Action needed!
Shopping offers,Shopping offers: Notification #69 - Check this out!
Shopping offers,Shopping offers: Notification #70 - Don’t miss this!
Shopping offers,Shopping offers: Notification #71 - Action needed!
Shopping offers,Shopping offers: Notification #72 - Don’t miss this!
Shopping offers,Shopping offers: Notification #73 - Check this out!
Shopping offers,Shopping offers: Notification #74 - Check this out!
Shopping offers,Shopping offers: Notification #75 - Don’t miss this!
Shopping offers,Shopping offers: Notification #76 - Check this out!
Shopping offers,Shopping offers: Notification #77 - Limited time!
Shopping offers,Shopping offers: Notification #78 - Limited time!
Shopping offers,Shopping offers: Notification #79 - FYI.
Shopping offers,Shopping offers: Notification #80 - Don’t miss this!
Shopping offers,Shopping offers: Notification #81 - Check this out!
Shopping offers,Shopping offers: Notification #82 - Don’t miss this!
Shopping offers,Shopping offers: Notification #83 - Check this out!
Shopping offers,Shopping offers: Notification #84 - Don’t miss this!
Shopping offers,Shopping offers: Notification #85 - Limited time!
Shopping offers,Shopping offers: Notification #86 - FYI.
Shopping offers,Shopping offers: Notification #87 - Limited time!
Shopping offers,Shopping offers: Notification #88 - Check this out!
Shopping offers,Shopping offers: Notification #89 - Limited time!
Shopping offers,Shopping offers: Notification #90 - Action needed!
Shopping offers,Shopping offers: Notification #91 - FYI.
Shopping offers,Shopping offers: Notification #92 - Check this out!
